smiles,Score,Reagent_ID
CC(C)(C)OC(=O)N1CCC(N)CC1C1CC1,0.5363082885742188,1
COCC(N)C1CCCOC1,0.5909923315048218,2
CCc1nocc1N,0.5673825740814209,3
CSc1cc(N)ccc1C,0.5574949979782104,4
COc1cc(CN)ccc1OCCC(C)C,0.5459648370742798,5
Cc1ccc(CN2CCOC(CN)C2)cc1,0.5909923315048218,6
CCCOCCCN,0.5909923315048218,7
NC1CCC2(CC2)C1,0.5909923315048218,8
COc1ccccc1CC(=O)N1CCC(N)CC1,0.562638521194458,9
CSC1CC(CN)C1,0.5909923315048218,10
CC(N)c1ccc(Cl)cn1,0.666067898273468,11
CC(C)=C(F)CN,0.6248623132705688,12
Cc1ccc(C2CCC(N)CC2)cc1,0.5909923315048218,13
NCc1ncccc1C(F)(F)F,0.7774201035499573,14
CC(N)c1cc2cnccc2o1,0.4875930845737457,15
Nc1cnn(C2COC2)c1,0.5363647937774658,16
NCC1CCCN(c2ccccc2)C1,0.5909923315048218,17
NCC1(c2ccccc2)CCCCO1,0.5909923315048218,18
CN(Cc1ccccc1)C(=O)CNC(=O)CN,0.5585678815841675,19
CC(C)(C)OC(=O)NC[C@H]1CCC[C@@H]1N,0.5503082871437073,20
COC1(CCN)CN(C(=O)OC(C)(C)C)C1,0.5328471064567566,21
Cc1[nH]c2c(Cl)ccc(Cl)c2c1CCN,0.6699868440628052,22
N[C@H]1C[C@H](Oc2ccccc2)C1,0.5909923315048218,23
C[C@H](N)C1CCN(C(=O)OC(C)(C)C)CC1,0.5328471064567566,24
NCCc1c[nH]c2c(Br)cccc12,0.6381666660308838,25
NCc1csc2c(Br)cccc12,0.6292421221733093,26
CC(C)(C)C1CC(CN)C1,0.5909923315048218,27
Cc1cccnc1C(C)N,0.5706004500389099,28
NCc1cccc2c1OCC2,0.5405905246734619,29
CC(N)c1nc(-c2cccc(F)c2)no1,0.5664727091789246,30
CC(C)(C)Oc1cc(CN)ccn1,0.5134619474411011,31
