complex_name,protein_path,ligand_description,protein_sequence
O=C1NC(=O)C2(CCSC2)N1,GLP1.pdb,O=C1NC(=O)C2(CCSC2)N1,
Cc1ccccc1CS,GLP1.pdb,Cc1ccccc1CS,
CCNC(=O)COc1ccc(C=O)cc1OC,GLP1.pdb,CCNC(=O)COc1ccc(C=O)cc1OC,
O=C(c1ccc(Cl)cc1)N1CCCCC(Cl)C1=O,GLP1.pdb,O=C(c1ccc(Cl)cc1)N1CCCCC(Cl)C1=O,
CSc1ccc(C(=O)O)cc1[N+](=O)[O-],GLP1.pdb,CSc1ccc(C(=O)O)cc1[N+](=O)[O-],
CN1CCN(S(=O)(=O)c2ccc(Cl)c([N+](=O)[O-])c2)CC1,GLP1.pdb,CN1CCN(S(=O)(=O)c2ccc(Cl)c([N+](=O)[O-])c2)CC1,
O=C(O)c1ccc(NC2=NS(=O)(=O)c3ccccc32)cc1,GLP1.pdb,O=C(O)c1ccc(NC2=NS(=O)(=O)c3ccccc32)cc1,
CC(NC1=NS(=O)(=O)c2ccccc21)C(=O)O,GLP1.pdb,CC(NC1=NS(=O)(=O)c2ccccc21)C(=O)O,
CNc1ccc(S(=O)(=O)NC)cc1[N+](=O)[O-],GLP1.pdb,CNc1ccc(S(=O)(=O)NC)cc1[N+](=O)[O-],
N#Cc1ccccc1C(F)(F)F,GLP1.pdb,N#Cc1ccccc1C(F)(F)F,
Cc1csc(SCc2ccccc2C(=O)O)n1,GLP1.pdb,Cc1csc(SCc2ccccc2C(=O)O)n1,
O=C(O)c1ccc(CSc2nc3ccccc3s2)cc1,GLP1.pdb,O=C(O)c1ccc(CSc2nc3ccccc3s2)cc1,
O=C(O)c1ccccc1CSc1nnc[nH]1,GLP1.pdb,O=C(O)c1ccccc1CSc1nnc[nH]1,
O=C(O)c1ccc(CSc2nc3ccccc3[nH]2)cc1,GLP1.pdb,O=C(O)c1ccc(CSc2nc3ccccc3[nH]2)cc1,
Cc1csc(SCc2ccc(C(=O)O)cc2)n1,GLP1.pdb,Cc1csc(SCc2ccc(C(=O)O)cc2)n1,
Cc1cc(N)n(C2CCS(=O)(=O)C2)n1,GLP1.pdb,Cc1cc(N)n(C2CCS(=O)(=O)C2)n1,
O=C(O)COc1ccc2oc3ccccc3c2c1,GLP1.pdb,O=C(O)COc1ccc2oc3ccccc3c2c1,
O=C(O)c1ccc(NS(=O)(=O)c2ccc3nnn(O)c3c2)cc1,GLP1.pdb,O=C(O)c1ccc(NS(=O)(=O)c2ccc3nnn(O)c3c2)cc1,
CC1CCC2(CC1)NC(=O)N(N)C2=O,GLP1.pdb,CC1CCC2(CC1)NC(=O)N(N)C2=O,
