ligand_description,complex_name,protein_path,protein_sequence
COc1ccc(/C=N/n2nnnc2N)cc1OC,CHEMBL3189609,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
O=C(NCc1ccccc1Cl)c1ccc2[nH]c([C@H]3C[C@H](O)[C@@H](CO)O3)nc2c1,CHEMBL2139828,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cc1ccc(S(=O)(=O)Nc2cc3c(cc2N2CCOCC2)n(C)c(=O)n3C)cc1,CHEMBL1435473,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CCOC(=O)c1ccc2nc(C)c(CCC(C)=O)c(Cl)c2c1,CHEMBL1497410,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Nc1nc(COC(=O)c2ccc3c(c2)OCCO3)nc(Nc2ccccc2)n1,CHEMBL1698935,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cc1cc(C)c(-n2nnnc2SCC(=O)c2cccs2)c(C)c1,CHEMBL1482358,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CCN1C(=O)/C(=C2/C=CC=CN2C)SC1=S,CHEMBL473313,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COc1ccc(C(=O)NC(=S)Nc2ccc(CN3CCCCC3)cc2)cc1Cl,CHEMBL1373809,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
O=C(Nc1ccccc1C(=O)NC1CC1)c1ccc([N+](=O)[O-])o1,CHEMBL1455019,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cc1ccc(C2CC(=O)c3cnn(-c4nc(C)cc(C)n4)c3C2)cc1,CHEMBL1339713,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COc1cccc(NC(=O)C(=O)N2CCOCC2)c1,CHEMBL1564952,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COc1cc(C2C3=C(CC(C)(C)CC3=O)N(C)C3=C2C(=O)CC(C)(C)C3)cc(Br)c1O,CHEMBL1563313,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(O)CC#N,CHEMBL1867393,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Nc1cc(-c2ccccc2)n2c(n1)nc1ccccc12,CHEMBL1711370,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CCCCCNC(=O)c1cc2c(=O)n3ccccc3nc2n1C,CHEMBL1570579,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CCOC(=O)/C=c1\s/c(=C\c2ccccc2OC)c(=O)n1CC(=O)N1CCOCC1,CHEMBL3198192,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COC(=O)c1c(NC(=O)c2ccccc2F)sc(C(=O)N2CCOCC2)c1C,CHEMBL1878371,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CC(=O)c1ccc(NC(=S)NC(=O)c2c(Cl)c(C)nn2C)cc1,CHEMBL1462237,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cc1ccccc1NC(=O)NCC1CCN(c2ccc(S(=O)(=O)N3CCOCC3)cc2)CC1,CHEMBL1597028,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COc1ccccc1NC(=O)c1cn(C)c(=O)c2cc(OC)c(OC)cc12,CHEMBL1480030,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COc1ccc(-c2cc(C(=O)OCC(=O)c3c(N)n(C)c(=O)n(C)c3=O)c3ccccc3n2)cc1,CHEMBL1418745,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cc1ccc2c(c1)NC(=O)c1cc([N+](=O)[O-])ccc1O2,CHEMBL1562747,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
O=C(CC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H]1O)NCc1ccc2c(c1)OCO2,CHEMBL1874538,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COc1ccc(C(=O)c2sc(Nc3ccc(NC(C)=O)cc3)nc2C)cc1,CHEMBL1445494,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CN(C)CCOC(=O)C12CC3CC(C1)CC(C(=O)OCCN(C)C)(C3)C2.Cl,CHEMBL1539543,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CCN1C(=O)C(=O)N(CC(=O)c2[nH]c(C)c(C(C)=O)c2C)C1=O,CHEMBL1874558,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
O=C(Nc1ncccc1O)c1ccc(S(=O)(=O)NCc2ccco2)cc1,CHEMBL1874585,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cc1cn(C2CCC(CO)O2)c(=O)[nH]c1=O,CHEMBL23970,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COCc1cccc(-c2csc(C(N)c3ccc(F)c(F)c3)n2)c1,CHEMBL1886092,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CCOC(=O)C1CCN(c2cc3c(cc2NC(=O)c2ccc(OC)c(OC)c2)n(C)c(=O)n3C)CC1,CHEMBL1311274,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
O=C1CCCN1CCCNc1[nH]cnc2c3ccccc3nc1-2,CHEMBL1482643,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
C/C(=N\NC(=O)c1cc(-c2cccc([N+](=O)[O-])c2)[nH]n1)c1ccc(F)cc1,CHEMBL3192076,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COc1nc(C)ccc1-c1noc(-c2ccncc2)n1,CHEMBL1448932,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
